,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
27375,27446,Text,2008-12-08,Der Hahn von Quakenbrück und andere Novellen,de,"Huch, Ricarda, 1864-1947",German fiction -- 20th century,PT,
27412,27483,Text,2008-12-10,"Die Abenteuer Gawains Ywains und Le Morholts mit den drei Jungfrauen
aus der Trilogie (Demanda) des pseudo-Robert de Borron",de,"Sommer, H. Oskar (Heinrich Oskar), 1861- [Editor]; Robert, de Boron, active 13th century [Unknown role]",Arthurian romances,PQ,DE Prosa; DE Sachbuch
27461,27532,Text,2008-12-14,Betrachtungen über die Grundlagen der Philosophie,de,"Descartes, René, 1596-1650; Fischer, Ludwig [Translator]",Philosophy,B,DE Sachbuch
27527,27598,Text,2008-12-23,Der Gehülfe,de,"Walser, Robert, 1878-1956",Swiss fiction (German),PT,DE Prosa
27698,27769,Text,2009-01-11,"Der Fliegende Hollaender
The Flying Dutchman",de,"Wagner, Richard, 1813-1883",Operas -- Librettos,ML,Opera
27704,27775,Text,2009-01-12,Des Feldpredigers Schmelzle Reise nach Flätz mit fortgehenden Noten,de,"Jean Paul, 1763-1825; Thylmann, Karl, 1888-1916 [Illustrator]","German wit and humor; Satire, German -- 19th century; Characters and characteristics in literature -- Humor",PT,DE Prosa
27751,27822,Text,2009-01-17,Zwei Prager Geschichten,de,"Rilke, Rainer Maria, 1875-1926","Prague (Czech Republic) -- Fiction; Short stories, German",PT,DE Prosa
27788,27859,Text,2009-01-21,Amo,de,"Velde, Henry van de, 1863-1957",Aesthetics; Art -- Philosophy,N,DE Sachbuch
27820,27891,Text,2009-01-26,Die moderne Ehe und wie man sie ertragen soll,de,"Braby, Maud Churton; Sokolowsky-Theumann, Clara [Translator]",Marriage,HQ,Sociology; DE Sachbuch
27888,27959,Text,2009-02-01,Ins neue Land,de,"Reuter, Gabriele, 1859-1941",German fiction -- 20th century,PT,DE Prosa
27902,27973,Text,2009-02-03,Der Mantel: Eine Novelle,de,"Gogol, Nikolai Vasilevich, 1809-1852; Kassner, Rudolf, 1873-1959 [Translator]","Russia -- Social life and customs -- Fiction; Short stories, Russian -- Translations into English",PG,DE Prosa
27971,28042,Text,2009-02-09,Die Leute von Seldwyla — Band 2,de,"Keller, Gottfried, 1819-1890",Short stories; Germany -- Social life and customs -- Fiction,PT,DE Prosa
28012,28083,Text,2009-02-14,Semper der Jüngling,de,"Schmidt, Otto Ernst, 1862-1926",German fiction,PT,DE Prosa
28029,28100,Text,2009-02-17,"Heilige Zeiten
Weihnachtsblätter",de,"Speidel, Ludwig, 1830-1906",Christmas,PT,DE Prosa
28149,28220,Text,2009-02-28,Jenseits des Lustprinzips,de,"Freud, Sigmund, 1856-1939",Psychoanalysis; Pleasure principle (Psychology),BF,DE Sachbuch
28172,28243,Text,2009-03-04,Nach Amerika! Ein Volksbuch. Vierter Band,de,"Gerstäcker, Friedrich, 1816-1872; Reinhardt, Karl, 1818-1877 [Illustrator]",Immigrants -- Fiction; German Americans -- Fiction,PT,DE Prosa
28208,28279,Text,2009-03-08,Woher die Kindlein kommen,de,"Hoppeler, Hans, 1879-1945",Sex instruction for children,HQ,DE Kinderbuch
28209,28280,Text,2009-03-08,Reise in die Aequinoctial-Gegenden des neuen Continents. Band 3.,de,"Humboldt, Alexander von, 1769-1859; Hauff, Hermann, 1800-1865 [Translator]",South America -- Description and travel; Natural history -- South America,F2201,DE Sachbuch
